season,player,projected_points,primary_position,eligible_positions,adp
2021,2021_RP_334,452.29,RP,RP;SP,169.7
2021,2021_2B_076,458.72,2B,2B,170.3
2021,2021_1B_035,461.49,1B,1B,170.9
2021,2021_1B_053,451.52,1B,1B,171.6
2021,2021_2B_087,427.9,2B,2B,172.9
2021,2021_3B_114,456.74,3B,3B,173.5
2021,2021_2B_066,482.46,2B,2B,178.5
2021,2021_C_026,376.76,C,C,179.1
2021,2021_OF_221,489.09,OF,OF,179.8
2021,2021_3B_116,472.31,3B,3B,180.5
2021,2021_2B_075,464.08,2B,2B,180.6
2021,2021_OF_227,492.26,OF,OF,181.3
2021,2021_SP_323,452.57,SP,SP;RP,182.3
2021,2021_2B_070,475.52,2B,2B,184.7
2021,2021_SS_154,429.35,SS,SS,185.1
2021,2021_2B_064,465.42,2B,2B,187.1
2021,2021_SS_160,427.48,SS,SS;2B,187.3
2021,2021_2B_079,429.41,2B,2B,187.8
2021,2021_RP_356,397.18,RP,RP,188.5
2021,2021_3B_104,462.73,3B,3B;SS,188.7
2021,2021_SS_159,424.19,SS,SS,188.8
2021,2021_2B_085,449.34,2B,2B,189.4
2021,2021_SS_153,414.01,SS,SS,190.4
2021,2021_2B_090,446.03,2B,2B,191.1
2021,2021_SP_304,418.37,SP,SP,191.4
2021,2021_2B_063,483.9,2B,2B,192.7
2021,2021_3B_123,449.4,3B,3B,193.1
2021,2021_RP_363,447.88,RP,RP,194.4
2021,2021_OF_190,414.26,OF,OF,194.7
2021,2021_2B_084,455.32,2B,2B,199.9
2021,2021_RP_352,414.39,RP,RP,200.2
2021,2021_C_018,399.62,C,C,200.5
2021,2021_OF_169,496.88,OF,OF,201.3
2021,2021_OF_204,426.24,OF,OF,202.2
2021,2021_OF_174,477.23,OF,OF,205.0
2021,2021_SS_161,424.73,SS,SS;3B,206.7
2021,2021_SP_282,448.1,SP,SP,206.7
2021,2021_OF_184,426.31,OF,OF;1B,206.9
2021,2021_SP_326,468.45,SP,SP,207.2
2021,2021_RP_354,385.75,RP,RP,207.3
2021,2021_3B_101,463.31,3B,3B,207.6
2021,2021_OF_186,445.98,OF,OF,209.1
2021,2021_C_011,404.72,C,C,210.4
2021,2021_C_015,407.31,C,C,210.8
2021,2021_OF_175,474.17,OF,OF,212.9
2021,2021_3B_119,459.41,3B,3B,213.3
2021,2021_OF_233,435.12,OF,OF;1B,215.0
2021,2021_RP_349,410.75,RP,RP,216.1
2021,2021_C_017,438.96,C,C,216.7
2021,2021_2B_095,410.83,2B,2B,217.2
2021,2021_SP_275,440.4,SP,SP,217.6
2021,2021_OF_192,422.9,OF,OF,217.8
2021,2021_2B_083,447.64,2B,2B,218.1
2021,2021_OF_180,432.81,OF,OF,220.8
2021,2021_SP_285,421.02,SP,SP,221.3
2021,2021_OF_213,437.65,OF,OF,221.5
2021,2021_3B_099,434.63,3B,3B,223.2
2021,2021_3B_113,454.37,3B,3B,223.5
2021,2021_SP_289,464.36,SP,SP,224.0
2021,2021_SP_299,395.98,SP,SP;RP,224.5
2021,2021_3B_110,445.58,3B,3B;SS,225.6
2021,2021_2B_096,443.82,2B,2B,226.2
2021,2021_SP_318,443.71,SP,SP,227.1
2021,2021_2B_086,440.75,2B,2B,228.0
2021,2021_SP_300,441.92,SP,SP,228.1
2021,2021_SP_316,407.05,SP,SP;RP,229.3
2021,2021_C_008,422.27,C,C,235.7
2021,2021_2B_081,413.97,2B,2B,237.2
2021,2021_2B_092,406.87,2B,2B,237.8
2021,2021_SP_325,384.69,SP,SP,238.0
2021,2021_SP_308,431.66,SP,SP,238.4
2021,2021_RP_359,409.71,RP,RP,238.4
2021,2021_OF_187,422.71,OF,OF,239.0
2021,2021_SP_295,426.19,SP,SP,241.3
2021,2021_SS_163,390.37,SS,SS;2B,244.2
2021,2021_RP_347,394.07,RP,RP;SP,244.5
2021,2021_2B_074,397.03,2B,2B,245.3
2021,2021_1B_052,433.49,1B,1B,246.3
2021,2021_2B_093,391.91,2B,2B,247.8
2021,2021_SS_166,417.85,SS,SS,248.2
2021,2021_C_024,381.57,C,C,248.8
2021,2021_RP_345,406.6,RP,RP,249.1
2021,2021_SP_306,414.76,SP,SP,249.4
2021,2021_C_013,396.88,C,C,249.8
2021,2021_3B_118,441.02,3B,3B,252.6
2021,2021_RP_372,441.48,RP,RP,252.6
2021,2021_OF_242,406.4,OF,OF,252.7
2021,2021_2B_088,396.0,2B,2B,254.5
2021,2021_OF_211,390.79,OF,OF,255.7
2021,2021_RP_355,360.04,RP,RP;SP,256.0
2021,2021_3B_130,379.19,3B,3B,256.8
2021,2021_1B_051,416.16,1B,1B;OF,258.0
2021,2021_OF_185,438.04,OF,OF,258.6
2021,2021_1B_041,434.12,1B,1B,260.9
2021,2021_3B_128,456.36,3B,3B,261.6
2021,2021_OF_197,398.31,OF,OF,262.1
2021,2021_1B_056,424.35,1B,1B,264.9
2021,2021_SP_278,431.44,SP,SP;RP,265.8
2021,2021_2B_077,396.52,2B,2B,266.0
2021,2021_1B_049,439.84,1B,1B,267.1
2021,2021_SP_303,422.22,SP,SP;RP,268.3
2021,2021_C_009,408.42,C,C,268.7
2021,2021_RP_341,405.72,RP,RP,268.7
2021,2021_SP_292,396.86,SP,SP,271.3
2021,2021_OF_210,388.27,OF,OF,272.9
2021,2021_OF_229,464.7,OF,OF,274.7
2021,2021_SP_305,367.69,SP,SP,275.9
2021,2021_RP_337,414.13,RP,RP,276.7
2021,2021_C_010,383.7,C,C,277.4
2021,2021_RP_360,370.51,RP,RP,277.5
2021,2021_OF_222,420.0,OF,OF,278.5
2021,2021_SP_317,414.49,SP,SP;RP,279.8
2021,2021_C_019,380.05,C,C,280.2
2021,2021_OF_179,431.04,OF,OF,280.6
2021,2021_RP_364,357.81,RP,RP,281.0
2021,2021_3B_120,439.13,3B,3B,283.0
2021,2021_RP_346,413.12,RP,RP,284.1
2021,2021_1B_061,435.15,1B,1B,284.3
2021,2021_RP_344,360.5,RP,RP,285.6
2021,2021_SP_314,418.57,SP,SP,286.4
2021,2021_OF_205,404.7,OF,OF;1B,287.2
2021,2021_RP_335,398.42,RP,RP;SP,288.4
2021,2021_SS_164,393.91,SS,SS,288.8
2021,2021_RP_342,382.52,RP,RP,291.8
2021,2021_OF_202,382.01,OF,OF;1B,293.3
2021,2021_1B_057,412.1,1B,1B,293.4
2021,2021_OF_195,396.21,OF,OF,295.4
2021,2021_OF_206,383.26,OF,OF,295.6
2021,2021_2B_091,385.12,2B,2B,297.1
2021,2021_SP_302,378.95,SP,SP,298.2
2021,2021_SP_273,427.19,SP,SP,298.4
2021,2021_SP_287,407.19,SP,SP;RP,299.2
2021,2021_1B_058,424.7,1B,1B;OF,300.5
2021,2021_OF_220,388.15,OF,OF,300.5
2021,2021_OF_208,409.33,OF,OF,301.0
2021,2021_OF_217,355.96,OF,OF;1B,302.0
2021,2021_OF_232,414.46,OF,OF,303.9
2021,2021_SP_311,398.59,SP,SP,304.6
2021,2021_OF_203,410.74,OF,OF,304.8
2021,2021_OF_198,398.09,OF,OF;1B,305.6
2021,2021_SP_320,418.85,SP,SP,305.9
2021,2021_RP_369,377.41,RP,RP,308.4
2021,2021_SP_293,382.86,SP,SP,308.5
2021,2021_OF_182,447.99,OF,OF,308.6
2021,2021_RP_358,356.92,RP,RP;SP,310.3
2021,2021_SP_297,375.51,SP,SP,313.6
2021,2021_C_020,368.72,C,C,315.8
2021,2021_3B_117,412.02,3B,3B,317.5
2021,2021_C_027,345.7,C,C,318.8
2021,2021_SP_313,378.53,SP,SP,319.6
2021,2021_OF_234,391.9,OF,OF,320.4
2021,2021_RP_361,355.47,RP,RP,321.0
2021,2021_SP_307,375.01,SP,SP,321.9
2021,2021_SS_165,393.92,SS,SS;2B,323.7
2021,2021_RP_370,366.11,RP,RP,325.0
2021,2021_C_022,353.15,C,C,325.4
2021,2021_C_028,329.61,C,C,325.8
2021,2021_RP_362,337.2,RP,RP,325.9
2021,2021_OF_194,401.88,OF,OF,326.6
2021,2021_OF_231,325.33,OF,OF;1B,328.7
2021,2021_SP_321,349.89,SP,SP,329.0
2021,2021_RP_366,329.74,RP,RP,329.3
2021,2021_OF_219,327.53,OF,OF,331.9
2021,2021_RP_339,407.59,RP,RP,333.2
2021,2021_OF_212,347.28,OF,OF,333.5
2021,2021_SP_310,359.31,SP,SP,337.7
2021,2021_SP_328,289.18,SP,SP,337.9
2021,2021_RP_368,327.04,RP,RP,338.4
2021,2021_OF_216,386.78,OF,OF,338.6
2021,2021_RP_353,341.67,RP,RP,338.8
2021,2021_OF_223,378.39,OF,OF,338.9
2021,2021_1B_062,381.94,1B,1B,339.8
2021,2021_RP_348,363.21,RP,RP,339.8
2021,2021_OF_215,381.97,OF,OF,340.1
2021,2021_C_007,351.5,C,C,340.4
2021,2021_SP_319,286.62,SP,SP,342.6
2021,2021_SP_322,351.11,SP,SP,344.2
2021,2021_C_014,323.92,C,C,344.3
2021,2021_OF_214,326.98,OF,OF,344.4
2021,2021_OF_189,410.06,OF,OF,346.7
2021,2021_OF_218,400.6,OF,OF,346.9
2021,2021_RP_373,303.89,RP,RP,346.9
2021,2021_OF_239,383.19,OF,OF;1B,348.9
2021,2021_OF_230,359.34,OF,OF;1B,349.5
2021,2021_RP_371,307.71,RP,RP,350.9
2021,2021_SP_309,373.29,SP,SP,351.3
2021,2021_OF_246,319.74,OF,OF,351.8
2021,2021_2B_094,341.31,2B,2B;SS,352.9
2021,2021_SP_301,338.28,SP,SP,353.4
2021,2021_OF_245,296.55,OF,OF,354.4
2021,2021_OF_226,311.71,OF,OF,355.5
2021,2021_SP_327,347.39,SP,SP,356.3
2021,2021_OF_200,424.95,OF,OF,356.5
2021,2021_OF_244,292.44,OF,OF,358.5
2021,2021_OF_236,286.28,OF,OF,359.1
2021,2021_OF_238,305.9,OF,OF;1B,361.2
2021,2021_SP_315,297.75,SP,SP;RP,361.7
2021,2021_RP_365,312.32,RP,RP,362.1
2021,2021_OF_224,312.32,OF,OF;1B,364.1
2021,2021_OF_225,279.61,OF,OF;1B,364.2
2021,2021_OF_240,322.66,OF,OF;1B,368.2
2021,2021_OF_243,289.89,OF,OF,368.6
2021,2021_OF_237,263.69,OF,OF,372.6
2021,2021_OF_235,282.27,OF,OF,379.0
2021,2021_OF_241,258.56,OF,OF,382.7
2022,2022_1B_043,630.39,1B,1B,1.0
2022,2022_1B_051,579.92,1B,1B;OF,1.0
2022,2022_SS_139,596.81,SS,SS,1.0
2022,2022_SP_249,677.32,SP,SP,1.0
2022,2022_SP_297,650.37,SP,SP,1.0
2022,2022_SP_250,625.75,SP,SP,1.7
2022,2022_SP_267,620.33,SP,SP,2.7
2022,2022_SP_305,581.01,SP,SP,3.0
2022,2022_SS_133,624.01,SS,SS;3B,3.1
2022,2022_SS_143,574.77,SS,SS,4.4
2022,2022_1B_041,609.25,1B,1B;OF,6.6
2022,2022_SP_256,561.39,SP,SP,10.0
2022,2022_SP_251,654.01,SP,SP,11.1
2022,2022_SP_300,538.34,SP,SP,12.0
2022,2022_OF_173,625.16,OF,OF,13.4
2022,2022_3B_099,463.97,3B,3B,14.4
2022,2022_3B_123,595.07,3B,3B;SS,15.4
2022,2022_SS_131,559.56,SS,SS;3B,16.4
2022,2022_1B_031,533.8,1B,1B,23.9
2022,2022_OF_190,621.02,OF,OF,23.9
2022,2022_C_001,514.61,C,C,24.5
2022,2022_3B_097,533.71,3B,3B,24.7
2022,2022_3B_104,493.27,3B,3B,24.9
2022,2022_SP_254,522.3,SP,SP;RP,25.3
2022,2022_1B_047,569.73,1B,1B,25.9
2022,2022_SP_248,605.84,SP,SP,27.2
2022,2022_SP_262,540.22,SP,SP,27.5
2022,2022_1B_048,597.01,1B,1B,27.6
2022,2022_RP_332,528.42,RP,RP,28.2
2022,2022_OF_182,592.28,OF,OF;1B,28.5
2022,2022_RP_336,503.3,RP,RP,29.7
2022,2022_SP_258,514.92,SP,SP,33.1
2022,2022_3B_114,556.49,3B,3B,34.6
2022,2022_SP_306,554.66,SP,SP;RP,35.0
2022,2022_SP_266,521.11,SP,SP,35.7
2022,2022_C_012,488.52,C,C,37.2
2022,2022_OF_179,589.95,OF,OF;1B,40.9
2022,2022_C_003,486.29,C,C,41.6
2022,2022_C_006,473.12,C,C,42.4
2022,2022_SP_263,531.1,SP,SP,43.4
2022,2022_1B_030,517.66,1B,1B,44.9
2022,2022_SP_299,547.16,SP,SP,45.8
2022,2022_1B_037,549.59,1B,1B,46.1
2022,2022_2B_065,535.14,2B,2B,47.1
2022,2022_SS_135,482.74,SS,SS;2B,47.6
2022,2022_C_016,483.1,C,C,47.7
2022,2022_3B_098,517.35,3B,3B;1B,47.7
2022,2022_OF_171,595.9,OF,OF,48.2
2022,2022_SP_281,486.33,SP,SP,49.0
2022,2022_SP_272,516.54,SP,SP,50.9
2022,2022_2B_068,481.56,2B,2B,51.0
2022,2022_SS_155,548.99,SS,SS,53.7
2022,2022_2B_087,472.91,2B,2B,54.0
2022,2022_OF_191,533.89,OF,OF,54.2
2022,2022_SP_288,554.18,SP,SP,55.5
2022,2022_SS_136,502.54,SS,SS;2B,56.5
2022,2022_SP_253,518.45,SP,SP,57.0
2022,2022_SS_132,473.19,SS,SS,57.2
2022,2022_3B_106,554.61,3B,3B,58.7
2022,2022_RP_349,516.71,RP,RP,58.7
2022,2022_1B_040,499.96,1B,1B,59.0
2022,2022_RP_334,450.69,RP,RP,60.1
2022,2022_SP_247,515.2,SP,SP,61.2
2022,2022_SS_144,451.03,SS,SS,62.3
2022,2022_SP_285,465.63,SP,SP;RP,62.7
2022,2022_OF_189,557.66,OF,OF;1B,65.3
2022,2022_2B_064,448.39,2B,2B;OF,68.6
2022,2022_C_019,469.89,C,C,68.8
2022,2022_3B_102,540.15,3B,3B,69.7
2022,2022_OF_224,521.28,OF,OF,71.1
2022,2022_SP_259,490.19,SP,SP,71.2
2022,2022_SS_148,433.42,SS,SS;2B,73.3
2022,2022_3B_101,491.82,3B,3B,74.0
2022,2022_1B_038,487.25,1B,1B,74.9
2022,2022_2B_076,530.15,2B,2B,76.7
2022,2022_SS_146,455.68,SS,SS,76.7
2022,2022_1B_058,555.74,1B,1B,79.2
2022,2022_SS_141,475.27,SS,SS,79.4
2022,2022_SP_252,503.48,SP,SP,79.5
2022,2022_OF_170,509.98,OF,OF,80.6
2022,2022_1B_039,525.38,1B,1B,81.1
2022,2022_SS_149,502.97,SS,SS,81.3
2022,2022_SS_154,477.56,SS,SS,81.6
2022,2022_SP_270,522.53,SP,SP,82.1
2022,2022_OF_174,528.76,OF,OF,82.6
2022,2022_2B_079,473.02,2B,2B,87.0
2022,2022_OF_229,504.62,OF,OF,87.3
2022,2022_SP_320,492.86,SP,SP,88.2
2022,2022_SS_159,510.76,SS,SS;3B,88.4
2022,2022_RP_350,444.57,RP,RP,90.6
2022,2022_SS_157,439.9,SS,SS,90.8
2022,2022_SS_152,494.05,SS,SS,90.9
2022,2022_SS_150,481.75,SS,SS,92.3
2022,2022_RP_338,470.99,RP,RP,92.4
2022,2022_3B_108,532.79,3B,3B,95.6
2022,2022_SP_323,443.07,SP,SP,95.9
2022,2022_SS_140,462.98,SS,SS,96.2
2022,2022_SP_273,477.81,SP,SP,97.8
2022,2022_SS_145,459.15,SS,SS;3B,99.3
2022,2022_OF_200,521.34,OF,OF,99.3
2022,2022_2B_074,461.97,2B,2B,100.7
2022,2022_1B_056,452.72,1B,1B,102.1
2022,2022_SP_302,498.46,SP,SP,102.9
2022,2022_3B_124,518.84,3B,3B;1B,103.1
2022,2022_SP_268,518.82,SP,SP;RP,103.7
2022,2022_OF_194,506.39,OF,OF,104.8
2022,2022_1B_033,498.87,1B,1B,105.5
2022,2022_1B_045,478.94,1B,1B,108.4
2022,2022_OF_198,550.81,OF,OF,109.6
2022,2022_3B_113,470.63,3B,3B,109.8
2022,2022_SS_142,449.35,SS,SS;2B,110.2
2022,2022_RP_346,444.34,RP,RP,111.9
2022,2022_2B_070,465.03,2B,2B,114.6
2022,2022_OF_186,520.57,OF,OF,116.3
2022,2022_1B_044,466.97,1B,1B;OF,116.4
2022,2022_SS_134,482.26,SS,SS,116.6
2022,2022_2B_072,470.66,2B,2B,116.7
2022,2022_1B_059,455.74,1B,1B,117.7
2022,2022_SP_274,479.59,SP,SP,118.2
2022,2022_SS_163,484.11,SS,SS,119.9
2022,2022_RP_347,477.36,RP,RP,120.1
2022,2022_1B_042,494.15,1B,1B,120.3
2022,2022_1B_034,493.52,1B,1B,121.0
2022,2022_1B_036,509.43,1B,1B;OF,121.1
2022,2022_RP_356,430.95,RP,RP,122.4
2022,2022_SP_309,515.24,SP,SP,122.8
2022,2022_SP_275,424.38,SP,SP,123.1
2022,2022_SS_166,439.64,SS,SS,123.4
2022,2022_C_010,415.58,C,C,125.9
2022,2022_1B_032,513.97,1B,1B,126.1
2022,2022_C_018,421.78,C,C,127.7
2022,2022_2B_077,465.95,2B,2B,129.5
2022,2022_1B_035,504.26,1B,1B,132.6
2022,2022_SP_260,476.04,SP,SP,132.8
2022,2022_OF_168,493.7,OF,OF,133.1
2022,2022_OF_175,506.85,OF,OF,136.5
2022,2022_3B_109,516.85,3B,3B,137.6
2022,2022_SP_271,476.99,SP,SP,138.3
2022,2022_3B_115,462.52,3B,3B,138.6
2022,2022_2B_075,483.82,2B,2B,138.8
2022,2022_SP_261,475.94,SP,SP,141.4
2022,2022_SP_287,413.65,SP,SP;RP,141.5
2022,2022_RP_348,453.13,RP,RP,144.4
2022,2022_SP_269,481.62,SP,SP,144.8
2022,2022_SP_278,452.48,SP,SP,145.0
2022,2022_OF_184,441.34,OF,OF;1B,145.7
2022,2022_3B_118,467.14,3B,3B,146.9
2022,2022_SP_319,486.33,SP,SP;RP,148.5
2022,2022_3B_105,466.04,3B,3B,148.6
2022,2022_3B_110,492.02,3B,3B,149.4
2022,2022_SS_137,476.58,SS,SS,149.9
2022,2022_1B_029,546.25,1B,1B;OF,150.2
2022,2022_RP_364,428.66,RP,RP,151.1
2022,2022_SS_153,443.39,SS,SS,153.0
2022,2022_OF_188,467.26,OF,OF,153.8
2022,2022_SP_291,466.44,SP,SP,153.8
2022,2022_SS_147,454.01,SS,SS,154.7
2022,2022_C_024,394.33,C,C,156.7
2022,2022_SS_156,434.18,SS,SS;3B,157.2
2022,2022_2B_089,428.09,2B,2B,159.4
2022,2022_C_025,425.46,C,C,161.2
2022,2022_2B_067,457.11,2B,2B,162.4
2022,2022_SP_264,470.4,SP,SP,163.5
2022,2022_SS_158,481.62,SS,SS,166.5
2022,2022_SP_280,460.65,SP,SP;RP,166.6
2022,2022_RP_344,421.7,RP,RP,167.1
2022,2022_C_023,410.04,C,C,168.2
2022,2022_C_004,404.1,C,C,168.4
2022,2022_1B_055,446.65,1B,1B;OF,168.5
2022,2022_3B_119,454.18,3B,3B,171.6
2022,2022_3B_122,474.94,3B,3B,172.5
2022,2022_SP_303,414.91,SP,SP,172.8
2022,2022_SP_318,458.38,SP,SP,173.0
2022,2022_SP_257,473.01,SP,SP,173.1
2022,2022_2B_069,434.77,2B,2B,173.3
2022,2022_OF_193,442.47,OF,OF,176.8
2022,2022_2B_091,492.67,2B,2B,177.6
2022,2022_SP_255,501.51,SP,SP;RP,177.9
