"Rank","Player","Team","Positions","Yahoo","CBS","RTS","NFBC","FT","AVG"
"43","Kyle Schwarber","PHI","LF,DH","36","47","46","66","27","44.4"
"44","Blake Snell","LAD","SP","40","46","45","49","47","45.4"
"45","Wyatt Langford","TEX","LF,CF","50","50","43","38","48","45.8"
"46","Emmanuel Clase","CLE","RP","39","43","44","40","64","46.0"
"47","Jose Altuve","HOU","2B,LF,DH","48","42","48","51","42","46.2"
"48","Brent Rooker","ATH","LF,RF,DH","49","49","34","58","44","46.8"
"49","Michael Harris II","ATL","CF","45","45","51","37","57","47.0"
"50","Ozzie Albies","ATL","2B","47","44","52","57","46","49.2"
"51","Marcell Ozuna","PIT","DH","51","51","49","61","45","51.4"
"52","James Wood","WSH","LF,RF,DH","61","53","53","46","49","52.4"
"53","CJ Abrams","WSH","SS","56","48","50","44","66","52.8"
"54","Teoscar Hernandez","LAD","LF,RF","53","57","47","53","55","53.0"
"55","Yoshinobu Yamamoto","LAD","SP","52","54","57","60","59","56.4"
"56","Framber Valdez","DET","SP","60","52","58","62","54","57.2"
"57","Michael King","SD","SP","59","56","54","64","56","57.8"
"58","Jacob deGrom","TEX","SP","55","68","61","48","60","58.4"
"59","Devin Williams","NYM","RP","46","55","56","47","95","59.8"
"60","Adley Rutschman","BAL","C","68","59","59","56","63","61.0"
"61","Josh Hader","HOU","RP","54","61","60","50","97","64.4"
"62","Shota Imanaga","CHC","SP","70","60","62","74","58","64.8"
"63","Pablo Lopez","MIN","SP","71","63","73","70","53","66.0"
"64","Lawrence Butler","ATH","CF,RF","69","65","67","59","78","67.6"
"65","Marcus Semien","NYM","2B","72","58","74","85","51","68.0"
"66","Josh Naylor","SEA","1B,DH","64","64","70","86","65","69.8"
"67","Anthony Santander","TOR","LF,RF,DH","66","80","63","81","62","70.4"
"68","Willy Adames","SF","SS","79","77","71","78","52","71.4"
"69","Brenton Doyle","COL","CF","77","86","65","68","69","73.0"
"70","Edwin Diaz","LAD","RP","57","66","68","54","122","73.4"
"71","Mason Miller","SD","RP","58","75","64","55","118","74.0"
"72","Aaron Nola","PHI","SP","75","81","82","89","61","77.6"
"73","Christian Walker","HOU","1B","80","73","77","93","67","78.0"
"74","Yainer Diaz","HOU","C,DH","106","85","66","52","84","78.6"
"75","Ryan Helsley","BAL","RP","63","88","76","63","104","78.8"
"76","Salvador Perez","KC","C,1B,DH","92","70","72","65","105","80.8"
"77","Bryce Miller","SEA","SP","101","76","79","82","68","81.2"
"78","Tyler Glasnow","LAD","SP","67","69","88","95","89","81.6"
"79","Jordan Westburg","BAL","2B,3B","84","67","78","75","107","82.2"
"80","Raisel Iglesias","ATL","RP","62","71","80","67","135","83.0"
"81","Cody Bellinger","NYY","LF,CF,RF","73","62","81","91","108","83.0"
"82","Max Fried","NYY","SP","83","82","75","96","82","83.6"
"83","George Kirby","SEA","SP","98","104","69","76","74","84.2"
"84","Logan Webb","SF","SP","76","83","93","100","72","84.8"
"85","Spencer Schwellenbach","ATL","SP","85","84","84","84","90","85.4"
"86","Bryan Reynolds","PIT","LF,CF,RF,DH","93","78","95","88","77","86.2"
"87","Cal Raleigh","SEA","C,DH","109","100","83","71","76","87.8"
"88","Seiya Suzuki","CHC","LF,RF,DH","105","98","91","73","73","88.0"
"89","Bailey Ober","MIN","SP","95","95","94","87","71","88.4"
"90","Mike Trout","LAA","CF,RF,DH","87","72","87","106","91","88.6"
"91","Mark Vientos","NYM","1B,3B,DH","89","87","86","90","92","88.8"
"92","Luis Robert Jr.","NYM","CF","103","79","92","77","94","89.0"
"93","Junior Caminero","TB","3B","88","92","90","72","111","90.6"
"94","Hunter Greene","CIN","SP","111","96","89","98","70","92.8"
"95","Alex Bregman","CHC","3B","78","74","98","112","102","92.8"
"96","Luis Castillo","SEA","SP","97","91","105","101","75","93.8"
"97","Matt McLain","CIN","2B","74","99","99","79","124","95.0"
"98","Willson Contreras","BOS","1B","116","97","85","69","119","97.2"
"99","Tanner Bibee","CLE","SP","90","115","100","99","86","98.0"
"100","Riley Greene","DET","LF,CF,RF,DH","115","102","101","102","83","100.6"
"101","Roki Sasaki","LAD","SP","94","106","96","97","115","101.6"
"102","Freddy Peralta","NYM","SP","96","113","110","110","81","102.0"
"103","Christian Yelich","MIL","LF,DH","120","90","103","103","96","102.4"
"104","Triston Casas","BOS","1B","114","94","115","113","80","103.2"
"105","Felix Bautista","BAL","RP","82","101","108","80","147","103.6"
"106","Will Smith","LAD","C","122","108","97","92","109","105.6"
"107","Joe Ryan","MIN","SP","108","105","112","104","100","105.8"
"108","Hunter Brown","HOU","SP","107","116","107","109","93","106.4"
"109","Andres Munoz","SEA","RP","81","103","102","83","170","107.8"
"110","Spencer Strider","ATL","SP","110","93","111","114","113","108.2"
"111","Zac Gallen","ARI","SP","104","107","121","123","87","108.4"
"112","Bo Bichette","NYM","3B,SS","99","89","106","116","142","110.4"
"113","Jake Burger","TEX","1B","100","109","104","107","134","110.8"
"114","Vinnie Pasquantino","KC","1B,DH","119","114","120","111","99","112.6"
"115","Matt Chapman","SF","3B","123","122","127","118","88","115.6"
"116","Brice Turang","MIL","2B","133","119","118","130","85","117.0"
"117","Ian Happ","CHC","LF","131","131","124","121","79","117.2"
"118","Jhoan Duran","PHI","RP","91","112","114","94","175","117.2"
"119","Sonny Gray","BOS","SP","117","125","119","124","101","117.2"
"120","Justin Steele","CHC","SP","121","111","125","127","123","121.4"
"121","Dylan Crews","WSH","CF,RF","130","110","126","119","129","122.8"
"122","Randy Arozarena","SEA","LF,CF","127","124","130","125","110","123.2"
"123","Ryan Walker","SF","RP","86","121","117","105","189","123.6"
"124","Adolis Garcia","PHI","RF","124","134","113","131","121","124.6"
"125","Luis Garcia","WSH","1B,2B,DH","142","118","122","117","131","126.0"
"126","Robert Suarez","ATL","RP","112","132","123","115","160","128.4"
"127","Royce Lewis","MIN","3B","129","137","143","139","103","130.2"
"128","Shane McClanahan","TB","SP","128","146","131","141","112","131.6"
"129","Spencer Steer","CIN","1B,LF,RF","155","157","109","132","106","131.8"
"130","Jack Flaherty","DET","SP","141","130","133","138","120","132.4"
"131","Bryan Woo","SEA","SP","132","129","132","135","137","133.0"
"132","Steven Kwan","CLE","LF,CF","137","128","147","129","125","133.2"
"133","Xavier Edwards","MIA","2B,SS","113","126","129","133","167","133.6"
"134","Jasson Dominguez","NYY","LF,CF,DH","147","120","138","134","130","133.8"
"135","Sandy Alcantara","MIA","SP","135","123","128","145","141","134.4"
"136","Ezequiel Tovar","COL","SS","126","153","142","122","136","135.8"
"137","Carlos Rodon","NYY","SP","148","143","145","136","114","137.2"
"138","Kodai Senga","NYM","SP","140","139","135","146","126","137.2"
"139","Pete Crow-Armstrong","CHC","CF","136","145","139","128","164","142.4"
"140","Anthony Volpe","NYY","SS","153","166","140","137","117","142.6"
"141","Alec Bohm","PHI","1B,3B","134","135","148","152","149","143.6"
"142","Eugenio Suarez","CIN","3B,DH","145","161","144","151","133","146.8"
"143","Tanner Scott","LAD","RP","102","117","134","142","248","148.6"
"144","Brandon Nimmo","TEX","LF,CF,RF","165","144","152","166","116","148.6"
"145","Xander Bogaerts","SD","SS","144","140","178","140","143","149.0"
"146","Shea Langeliers","ATH","C,DH","151","142","116","108","230","149.4"
"147","Shohei Ohtani (Pitcher)","LAD","SP","161","","","","138","149.5"
"148","Seth Lugo","KC","SP","163","149","136","174","128","150.0"
"149","Kevin Gausman","TOR","SP","159","156","151","160","132","151.6"
"150","Robbie Ray","SF","SP","143","141","166","144","166","152.0"
"151","Nick Castellanos","SD","RF,DH","152","170","155","157","140","154.8"
"152","Paul Goldschmidt","NYY","1B","162","154","156","156","151","155.8"
"153","Josh Lowe","LAA","LF,CF,RF","171","151","150","143","169","156.8"
"154","Colton Cowser","BAL","LF,CF,RF","166","167","160","147","148","157.6"
"155","Reynaldo Lopez","ATL","SP,RP","150","169","161","165","146","158.2"
"156","J.T. Realmuto","PHI","C","156","127","141","126","242","158.4"
"157","Grayson Rodriguez","LAA","SP","169","200","158","168","98","158.6"
"158","Cristopher Sanchez","PHI","SP","168","152","162","161","162","161.0"
"159","Luis Arraez","SF","1B,2B,DH","138","138","174","164","193","161.4"
"160","Jurickson Profar","ATL","LF","176","155","159","179","145","162.8"
"161","Yusei Kikuchi","LAA","SP","177","172","168","159","139","163.0"
"162","Jared Jones","PIT","SP","157","175","163","198","127","164.0"
"163","Isaac Paredes","HOU","1B,3B","158","136","153","181","195","164.6"
"164","Logan O'Hoppe","LAA","C","173","173","137","120","231","166.8"
"165","Nico Hoerner","CHC","2B","160","163","149","185","180","167.4"
"166","Lane Thomas","KC","LF,CF,RF","180","182","164","163","153","168.4"
"167","Jeff Hoffman","TOR","RP","118","133","146","158","300","171.0"
"168","Tyler O'Neill","BAL","LF,RF","185","164","171","176","161","171.4"
"169","Trevor Megill","MIL","RP","125","147","157","162","268","171.8"
"170","Andres Gimenez","TOR","2B,SS","184","190","177","154","155","172.0"
"171","Dansby Swanson","CHC","SS","179","171","201","169","158","175.6"
"172","Bryson Stott","PHI","2B,SS","174","189","154","155","209","176.2"
"173","Ryan Pepiot","TB","SP","186","192","176","167","165","177.2"
"174","Michael Toglia","CIN","1B","197","185","165","173","168","177.6"
"175","Taylor Ward","BAL","LF","201","204","183","171","144","180.6"
"176","Masyn Winn","STL","SS","188","181","206","149","185","181.8"
"177","Kerry Carpenter","DET","LF,RF,DH","193","174","191","180","174","182.4"
"178","Brandon Pfaadt","ARI","SP,RP","181","206","189","183","157","183.2"
"179","Tommy Edman","LAD","2B,3B,CF","189","168","205","170","191","184.6"
"180","Jeremy Pena","HOU","SS","194","207","200","150","178","185.8"
"181","Zach Eflin","BAL","SP","182","188","195","191","176","186.4"
"182","Alexis Diaz","TEX","RP","146","195","170","188","234","186.6"
"183","Luis Rengifo","MIL","2B,3B,OF","224","184","175","148","204","187.0"
"184","Jackson Holliday","BAL","2B,SS","192","176","202","206","159","187.0"
"185","Nick Pivetta","SD","SP","183","193","199","186","184","189.0"
"186","Brandon Lowe","PIT","2B","222","150","179","208","190","189.8"
"187","Spencer Arrighetti","HOU","SP","210","159","197","205","187","191.6"
"188","Shane Baz","BAL","SP","214","218","182","193","152","191.8"
"189","Victor Robles","SEA","LF,CF,RF","218","158","190","182","214","192.4"
"190","Nathan Eovaldi","TEX","SP","195","183","208","202","179","193.4"
"191","Austin Wells","NYY","C","200","191","169","172","236","193.6"
"192","Yandy Diaz","TB","1B,DH","175","187","212","187","208","193.8"
"193","Pete Fairbanks","MIA","RP","149","177","185","178","293","196.4"
"194","Heliot Ramos","SF","LF,CF,RF","206","213","207","190","182","199.6"
"195","MacKenzie Gore","TEX","SP","219","199","211","200","173","200.4"
"196","Ceddanne Rafaela","BOS","2B,CF","198","212","173","177","245","201.0"
"197","Jose Berrios","TOR","SP","207","216","203","232","150","201.6"
"198","Josh Jung","TEX","3B","213","210","184","203","200","202.0"
"199","Zach Neto","LAA","SS","211","202","186","189","223","202.2"
"200","Max Muncy","LAD","3B","202","205","216","235","154","202.4"
"201","Nolan Arenado","ARI","3B","196","194","230","213","181","202.8"
"202","Cedric Mullins II","TB","CF","231","180","209","204","192","203.2"
"203","Ronel Blanco","HOU","SP","228","196","193","240","163","204.0"
"204","Tyler Stephenson","CIN","C","220","226","167","153","256","204.4"
"205","David Bednar","NYY","RP","164","197","204","184","279","205.6"
"206","Taj Bradley","MIN","SP","230","223","226","194","156","205.8"
"207","Gavin Williams","CLE","SP","204","186","213","211","219","206.6"
"208","Lucas Erceg","KC","RP","191","237","194","192","227","208.2"
"209","Byron Buxton","MIN","CF,DH","245","148","221","214","222","210.0"
"210","Tanner Houck","BOS","SP","203","225","225","226","177","211.2"
"211","Jordan Romano","COL","RP","167","160","172","210","348","211.4"
"212","Alec Burleson","STL","1B,LF,RF,DH","236","214","188","229","198","213.0"
"213","Carlos Correa","HOU","3B,SS","243","162","238","228","205","215.2"
"214","Kenley Jansen","DET","RP","154","178","187","195","367","216.2"
"215","Bowden Francis","TOR","SP","221","211","223","239","188","216.4"
"216","Gleyber Torres","DET","2B","208","244","243","220","171","217.2"
"217","Jorge Soler","LAA","RF,DH","240","219","222","207","199","217.4"
"218","Jonathan India","KC","2B,3B,LF,DH","242","217","228","231","172","218.0"
"219","Lourdes Gurriel Jr.","ARI","LF","234","224","218","209","207","218.4"
"220","Kirby Yates","LAA","RP","190","250","217","212","228","219.4"
"221","Nick Lodolo","CIN","SP","215","222","224","236","210","221.4"
"222","Maikel Garcia","KC","2B,3B,SS,OF","261","239","232","199","183","222.8"
"223","Sean Manaea","NYM","SP,RP","227","234","220","218","218","223.4"
"224","Walker Buehler","SD","SP","233","215","233","244","197","224.4"
"225","Francisco Alvarez","NYM","C","217","262","181","201","265","225.2"
"226","Brandon Woodruff","MIL","SP","226","238","231","245","194","226.8"
"227","Gabriel Moreno","ARI","C","248","230","210","175","274","227.4"
"228","Matt Shaw","CHC","2B,3B,RF,DH","216","203","234","227","266","229.2"
"229","Clay Holmes","NYM","SP","199","179","192","252","326","229.6"
"230","George Springer","TOR","LF,CF,RF,DH","259","227","246","234","186","230.4"
"231","Justin Martinez","ARI","RP","172","201","235","224","334","233.2"
"232","Carlos Estevez","KC","RP","170","198","227","225","350","234.0"
"233","Jackson Jobe","DET","SP,RP","235","208","242","254","240","235.8"
"234","Ryan Mountcastle","BAL","1B,DH","232","231","241","221","260","237.0"
"235","Ryan Pressly","","RP","139","165","198","277","410","237.8"
"236","Christian Encarnacion-Strand","BAL","1B,3B","247","221","256","222","249","239.0"
"237","Rhys Hoskins","CLE","1B,DH","249","233","244","261","212","239.8"
"238","Jesus Luzardo","PHI","SP","244","209","239","257","252","240.2"
"239","Yu Darvish","SD","SP","237","243","245","267","211","240.6"
"240","Kyle Finnegan","DET","RP","178","220","215","265","328","241.2"
"241","Clarke Schmidt","NYY","SP","229","280","240","251","206","241.2"
"242","Tyler Fitzgerald","LAD","2B","297","229","219","238","246","245.8"
"243","Jake McCarthy","COL","LF,CF,RF","250","268","263","217","237","247.0"
"244","Nathaniel Lowe","CIN","1B,DH","257","275","261","255","201","249.8"
"245","Colt Keith","DET","1B,2B,3B,DH","262","283","265","243","203","251.2"
"246","Brendan Donovan","SEA","2B,3B,SS,LF","314","246","250","233","216","251.8"
"247","Connor Wong","BOS","C","322","265","196","215","262","252.0"
"248","Willi Castro","COL","2B,3B,SS,LF,RF","255","287","259","216","247","252.8"
"249","Drew Rasmussen","TB","SP","205","273","252","249","289","253.6"
"250","Zack Gelof","ATH","2B,3B,CF","288","240","247","237","257","253.8"
"251","Ranger Suarez","BOS","SP","275","261","273","272","202","256.6"
"252","Parker Meadows","DET","CF","318","269","229","242","232","258.0"
"253","TJ Friedl","CIN","LF,CF","300","245","255","247","244","258.2"
"254","Michael Busch","CHC","1B","308","263","270","246","213","260.0"
"255","Luis Gil","NYY","SP","223","311","180","305","290","261.8"
"256","Jung Hoo Lee","SF","CF,RF","289","257","278","230","263","263.4"
"257","Trevor Story","BOS","SS","294","235","286","250","254","263.8"
"258","Ivan Herrera","STL","C,DH","326","247","214","219","317","264.6"
"259","Nestor Cortes Jr.","","SP","301","249","280","270","229","265.8"
"260","Ryan Jeffers","MIN","C,DH","345","252","236","223","277","266.6"
"261","Michael Wacha","KC","SP","265","278","303","268","220","266.8"
"262","Garrett Mitchell","MIL","CF,RF","316","271","248","241","264","268.0"
"263","Nolan Jones","CLE","LF,CF,RF","295","272","281","258","239","269.0"
"264","Matt Wallner","MIN","LF,RF","274","259","272","266","278","269.8"
"265","Ryan McMahon","NYY","3B","311","242","297","274","226","270.0"
"266","Reese Olson","DET","SP","321","254","276","253","250","270.8"
"267","Sean Murphy","ATL","C","277","316","237","263","269","272.4"
"268","Mitch Keller","PIT","SP","307","264","314","288","196","273.8"
"269","A.J. Puk","ARI","RP","209","255","293","271","352","276.0"
"270","Aroldis Chapman","BOS","RP","212","228","262","295","389","277.2"
"271","Ben Joyce","LAA","RP","238","301","268","285","301","278.6"
"272","Kristian Campbell","BOS","2B,CF","267","241","285","286","315","278.8"
"273","Keibert Ruiz","WSH","C","405","279","249","197","275","281.0"
"274","Christopher Morel","MIA","1B,LF,DH","329","260","306","260","251","281.2"
"275","Evan Carter","TEX","LF,CF,RF","357","258","298","280","215","281.6"
"276","Max Scherzer","TOR","SP","241","232","266","304","366","281.8"
"277","Roman Anthony","BOS","LF,CF,RF,DH","304","266","275","289","276","282.0"
"278","JJ Bleday","CIN","LF,CF,RF","382","276","264","264","225","282.2"
"279","Jeffrey Springs","ATH","SP","334","286","295","262","235","282.4"
"280","Jason Foley","SF","RP","239","251","271","312","368","288.2"
"281","Connor Norby","MIA","1B,3B,DH","350","282","283","281","253","289.8"
"282","Jake Cronenworth","SD","1B,2B,SS","331","312","318","273","217","290.2"
"283","Griffin Jax","TB","SP,RP","251","288","274","301","342","291.2"
"284","Joey Bart","PIT","C","351","274","257","248","335","293.0"
"285","Merrill Kelly","ARI","SP","341","248","346","291","243","293.8"
"286","Michael Conforto","CHC","LF,RF,DH","355","236","292","276","314","294.6"
"287","Chris Bassitt","BAL","SP","325","267","328","324","241","297.0"
"288","Porter Hodge","CHC","RP","305","319","294","282","287","297.4"
"289","Liam Hendriks","CHC","RP","225","302","299","294","379","299.8"
"290","Luke Weaver","NYM","RP","258","310","310","339","283","300.0"
"291","Lars Nootbaar","STL","LF,CF,RF","424","293","269","259","258","300.6"
"292","Grant Holmes","ATL","SP","272","253","317","300","383","305.0"
"293","Kumar Rocker","TEX","SP","320","308","349","293","267","307.4"
"294","Jordan Walker","STL","LF,RF","367","307","319","287","272","310.4"
"295","Erick Fedde","CWS","SP,RP","385","325","313","313","224","312.0"
"296","Jose Caballero","NYY","2B,3B,SS,LF,RF","324","285","366","298","297","314.0"
"297","Luis Severino","ATH","SP","358","315","369","292","238","314.4"
"298","Tomoyuki Sugano","COL","SP","337","344","251","317","337","317.2"
"299","Alejandro Kirk","TOR","C","335","324","316","256","362","318.6"
"300","Brady Singer","CIN","SP","379","326","350","319","221","319.0"
"301","Spencer Torkelson","DET","1B","270","337","342","361","285","319.0"
"302","Dustin May","STL","SP","269","284","308","344","392","319.4"
"303","Andrew Vaughn","MIL","1B","344","304","394","279","281","320.4"
"304","Nick Martinez","TB","SP,RP","340","321","365","311","271","321.6"
"305","Jason Adam","SD","RP","253","305","307","357","387","321.8"
"306","Joey Ortiz","MIL","SS","343","341","368","275","284","322.2"
"307","Tobias Myers","NYM","SP,RP","389","352","290","323","261","323.0"
"308","Giancarlo Stanton","NYY","LF,RF,DH","263","345","321","383","303","323.0"
"309","Calvin Faucher","MIA","RP","254","299","287","334","442","323.2"
"310","Bubba Chandler","PIT","SP","362","327","345","302","282","323.6"
"311","Bo Naylor","CLE","C","317","323","347","283","349","323.8"
"312","Justin Verlander","DET","SP","312","281","311","341","394","327.8"
"313","Patrick Bailey","CLE","C","285","314","379","299","370","329.4"
"314","Chris Martin","TEX","RP","187","256","312","328","570","330.6"
"315","Tyler Soderstrom","ATH","1B,LF","364","296","393","278","325","331.2"
"316","Joc Pederson","TEX","DH","346","289","413","316","292","331.2"
"317","David Peterson","NYM","SP,RP","373","309","352","322","302","331.6"
"318","Jo Adell","LAA","LF,CF,RF","332","339","408","284","309","334.4"
"319","Brandon Marsh","PHI","LF,CF,RF","290","340","431","306","306","334.6"
"320","Victor Scott","STL","CF","260","297","284","350","483","334.8"
"321","Luke Raley","SEA","1B,LF,CF,RF","425","300","343","290","321","335.8"
"322","Orion Kerkering","PHI","RP","264","328","371","330","390","336.6"
"323","Jameson Taillon","CHC","SP","374","295","433","326","259","337.4"
"324","Jacob Young","WSH","CF","328","322","417","297","332","339.2"
"325","Hayden Birdsong","SF","SP,RP","323","320","329","369","356","339.4"
"326","Brayan Bello","BOS","SP","392","353","389","331","233","339.6"
"327","Jeimer Candelario","LAA","1B,3B","394","318","397","307","305","344.2"
"328","Jonathan Aranda","TB","1B","371","334","359","314","354","346.4"
"329","Wilyer Abreu","BOS","LF,CF,RF","372","313","474","303","273","347.0"
"330","Edwin Uceta","TB","RP","338","270","410","329","391","347.6"
"331","Heston Kjerstad","BAL","LF,RF","282","358","418","336","353","349.4"
"332","Thairo Estrada","","2B","387","303","399","320","341","350.0"
"333","Matthew Boyd","CHC","SP","397","347","398","310","307","351.8"
"334","Ryan Weathers","NYY","SP","370","333","348","352","360","352.6"
"335","Bryan Abreu","HOU","RP","330","291","300","468","413","360.4"
"336","Nolan Schanuel","LAA","1B","409","342","457","315","280","360.6"
"337","Jose Soriano","LAA","SP","402","356","383","318","347","361.2"
"338","Jacob Wilson","ATH","SS","391","350","327","335","407","362.0"
"339","Kutter Crawford","BOS","SP","398","359","449","338","270","362.8"
"340","Daulton Varsho","TOR","LF,CF","359","362","459","325","316","364.2"
"341","Charlie Morton","","SP,RP","384","294","415","393","338","364.8"
"342","Eduardo Rodriguez","ARI","SP","423","317","387","366","331","364.8"
"343","Kris Bubic","KC","SP","404","330","344","333","427","367.6"
"344","Kyle Manzardo","CLE","1B,DH","375","335","412","360","363","369.0"
"345","Dylan Moore","PHI","1B,2B,3B,LF,RF","356","338","447","349","371","372.2"
"346","Chad Green","","RP","406","298","331","429","403","373.4"
"347","Tyler Holton","DET","SP,RP","252","346","454","464","444","392.0"
"348","Cam Smith","HOU","RF","283","277","260","381","763","392.8"
"349","Shane Bieber","TOR","SP","395","360","390","438","405","397.6"
"350","Max Meyer","MIA","SP","415","343","381","377","484","400.0"
"351","Casey Mize","DET","SP","408","348","395","390","478","403.8"
"352","Jesus Sanchez","TOR","LF,CF,RF,DH","349","","277","269","255","287.5"
"353","Cade Smith","CLE","RP","280","290","291","382","","310.8"
"354","Jonah Heim","ATH","C,DH","299","","332","296","327","313.5"
"355","Michael Kopech","","RP","348","","267","359","313","321.8"
"356","Michael Soroka","ARI","SP,RP","422","361","411","463","540","439.4"
"357","Ha-Seong Kim","ATL","2B,SS","393","","320","346","291","337.5"
"358","David Hamilton","MIL","2B,3B,SS","319","292","","362","401","343.5"
"359","Hyeseong Kim","LAD","2B,SS,CF","310","","326","414","340","347.5"
"360","Carlos Santana","ARI","1B","276","","437","355","324","348.0"
"361","Nolan Gorman","STL","2B,3B,DH","366","","351","365","312","348.5"
"362","Sal Frelick","MIL","LF,CF,RF","296","","376","368","380","355.0"
"363","Josh Smith","TEX","1B,2B,3B,SS,LF,RF","360","351","","371","351","358.3"
"364","Andrew Painter","PHI","SP","376","","403","367","294","360.0"
"365","Dean Kremer","BAL","SP","","354","341","421","333","362.3"
"366","Cody Bradford","TEX","SP","399","","402","351","298","362.5"
"367","Luisangel Acuna","CWS","2B,SS,CF","291","","362","394","409","364.0"
"368","Otto Lopez","MIA","2B,SS","377","","456","327","304","366.0"
"369","David Festa","MIN","SP","401","","424","332","308","366.3"
"370","DJ Herz","WSH","SP","412","","422","345","295","368.5"
"371","Ke'Bryan Hayes","CIN","3B","400","","363","364","355","370.5"
"372","Jordan Lawlar","ARI","3B,LF","284","","462","370","374","372.5"
"373","Camilo Doval","NYY","RP","368","","322","385","419","373.5"
"374","Kyle Harrison","MIL","SP,RP","403","","409","397","288","374.3"
"375","Hunter Goodman","COL","C,DH","413","","388","308","395","376.0"
"376","Trevor Larnach","MIN","LF,RF,DH","","363","463","321","357","376.0"
"377","Coby Mayo","BAL","1B,3B","293","","469","401","344","376.8"
"378","Masataka Yoshida","BOS","LF,DH","266","","425","459","372","380.5"
"379","Bryan De La Cruz","PHI","LF","292","","420","439","377","382.0"
"380","Starling Marte","KC","LF,RF,DH","","306","440","404","381","382.8"
"381","Josh Bell","MIN","1B,DH","388","","444","342","364","384.5"
"382","Austin Hays","CWS","LF,DH","278","","340","405","531","388.5"
"383","Lucas Giolito","SD","SP","418","","421","389","329","389.3"
"384","Deyvison De Los Santos","MIA","1B,3B","271","","382","447","458","389.5"
"385","Caleb Durbin","BOS","2B,3B","342","","407","406","404","389.8"
"386","Blake Treinen","LAD","RP","273","","453","420","424","392.5"
"387","Jake Fraley","TB","LF,RF","","357","429","386","417","397.3"
"388","Seth Halvorsen","COL","RP","354","","356","408","492","402.5"
"389","Ben Rice","NYY","C,1B,DH","339","336","","453","536","416.0"
"390","Jose Siri","LAA","CF","","331","467","458","430","421.5"
"391","Drake Baldwin","ATL","C,DH","378","","309","415","590","423.0"
"392","Jack Leiter","TEX","SP","421","","305","437","533","424.0"
"393","Jeremiah Estrada","SD","RP","380","","426","441","475","430.5"
"394","Justin Slaten","BOS","RP","383","","475","428","520","451.5"
"395","Mike Clevinger","PIT","RP","279","","296","431","911","479.3"
"396","Evan Phillips","LAD","RP","286","","304","988","421","499.8"
"397","Will Warren","NYY","SP","411","","353","440","686","472.5"
