"Rank","Player","Team","Positions","NFBC","CBS","RTS","ESPN","Yahoo","FT","AVG"
"177","Shota Imanaga","CHC","SP","192","169","172","205","169","159","172.2"
"178","Jackson Holliday","BAL","2B,SS","184","180","167","170","219","167","173.6"
"179","Christopher Morel","MIA","1B,LF,DH","186","166","161","231","170","203","177.2"
"180","Ke'Bryan Hayes","CIN","3B","162","159","188","175","207","223","178.2"
"181","Bryce Miller","SEA","SP","180","182","190","160","181","160","178.6"
"182","Nick Pivetta","SD","SP","176","192","186","113","185","161","180.0"
"183","Brandon Nimmo","TEX","LF,CF,RF","187","165","155","93","183","222","182.4"
"184","Eloy Jimenez","","RF,DH","212","172","176","191","205","173","183.4"
"185","Ryan Pepiot","TB","SP","193","197","189","179","182","175","183.6"
"186","Willy Adames","SF","SS","181","184","201","173","193","138","186.4"
"187","Rhys Hoskins","CLE","1B,DH","188","177","179","208","190","154","188.4"
"188","Jonah Heim","ATH","C,DH","165","228","173","186","192","266","188.8"
"189","Trevor Story","BOS","SS","172","170","206","230","266","172","190.0"
"190","Jose Leclerc","SD","RP","209","176","202","178","186","301","190.2"
"191","Steven Kwan","CLE","LF,CF","201","195","197","75","223","149","193.0"
"192","Eduardo Rodriguez","ARI","SP","199","208","185","177","210","145","195.8"
"193","TJ Friedl","CIN","LF,CF","195","230","166","226","163","142","196.0"
"194","Alex Lange","KC","RP","205","206","212","168","199","315","198.0"
"195","Justin Turner","","1B,3B","237","203","194","184","179","232","198.4"
"196","Charlie Morton","","SP,RP","222","190","195","150","202","184","198.6"
"197","Bryan Woo","SEA","SP","183","196","207","214","194","171","198.8"
"198","Kerry Carpenter","DET","LF,RF,DH","207","202","211","255","188","190","199.6"
"199","Mitch Garver","SEA","C,DH","173","200","192","218","279","226","201.8"
"200","Ezequiel Tovar","COL","SS","190","218","226","241","184","195","202.6"
"201","Daulton Varsho","TOR","LF,CF","200","219","246","183","234","178","202.8"
"202","Gavin Williams","CLE","SP","185","205","196","234","204","143","204.8"
"203","Jeimer Candelario","LAA","1B,3B","202","181","223","220","264","208","206.8"
"204","Triston McKenzie","SD","SP,RP","220","198","208","204","206","168","207.2"
"205","Aaron Civale","ATH","SP,RP","198","193","216","288","236","197","208.0"
"206","Brandon Pfaadt","ARI","SP,RP","203","224","229","250","195","192","208.6"
"207","Tommy Edman","LAD","2B,3B,CF","196","212","198","213","224","275","208.6"
"208","Carlos Correa","HOU","3B,SS","236","188","286","181","239","200","208.8"
"209","Robert Suarez","ATL","RP","231","189","240","216","189","350","213.0"
"210","Carlos Estevez","KC","RP","233","201","217","199","217","300","213.4"
"211","Brayan Bello","BOS","SP","215","225","218","228","268","182","213.6"
"212","Edouard Julien","COL","1B,2B,DH","204","220","234","273","238","177","214.6"
"213","Braxton Garrett","MIA","SP","219","272","215","193","240","206","214.6"
"214","Lourdes Gurriel Jr.","ARI","LF","213","211","209","148","243","204","216.0"
"215","Keibert Ruiz","WSH","C","171","242","203","118","245","244","221.0"
"216","Nathaniel Lowe","CIN","1B,DH","224","250","213","265","211","209","221.4"
"217","J.P. Crawford","SEA","SS","281","221","269","146","387","191","221.6"
"218","Kyle Bradish","BAL","SP","253","266","183","207","208","106","223.4"
"219","Giancarlo Stanton","NYY","LF,RF,DH","283","199","238","229","221","233","224.0"
"220","Logan O'Hoppe","LAA","C","153","210","184","224","247","259","224.8"
"221","Tyler O'Neill","BAL","LF,RF","218","235","228","319","222","229","226.4"
"222","Starling Marte","KC","LF,RF,DH","210","185","220","245","227","237","227.8"
"223","Nestor Cortes Jr.","","SP","242","194","250","221","218","214","229.0"
"224","Kenta Maeda","","SP,RP","239","223","268","206","378","213","229.8"
"225","Ryan McMahon","NYY","3B","214","204","257","278","403","202","231.0"
"226","Byron Buxton","MIN","CF,DH","227","162","219","239","267","205","231.4"
"227","Bo Naylor","CLE","C","166","215","210","280","423","288","231.8"
"228","Kyle Harrison","MIL","SP,RP","248","231","214","190","235","231","231.8"
"229","Jeremy Pena","HOU","SS","216","259","304","233","242","210","232.0"
"230","Junior Caminero","TB","3B","254","279","239","217","397","176","233.0"
"231","Cristopher Sanchez","PHI","SP","229","217","249","309","256","220","234.2"
"232","Marcus Stroman","","SP","259","214","241","198","261","293","234.6"
"233","Maikel Garcia","KC","2B,3B,SS,OF","208","233","225","306","216","311","237.6"
"234","Taylor Ward","BAL","LF","211","251","266","247","288","218","238.6"
"235","J.D. Martinez","","DH","240","236","222","263","233","189","238.8"
"236","Jorge Polanco","NYM","2B,3B,DH","241","227","256","274","254","217","239.0"
"237","Reid Detmers","LAA","SP,RP","232","238","270","162","271","186","239.4"
"238","Jung Hoo Lee","SF","CF,RF","245","213","224","171","274","250","241.2"
"239","Brandon Drury","KC","1B,2B,3B","206","229","237","236","263","242","241.4"
"240","Lars Nootbaar","STL","LF,CF,RF","223","262","227","297","369","199","241.6"
"241","Anthony Rizzo","","1B","257","209","263","238","355","246","242.6"
"242","Nick Lodolo","CIN","SP","247","255","282","310","237","201","244.4"
"243","Kutter Crawford","BOS","SP","251","244","248","203","212","270","245.0"
"244","Jack Suwinski","LAD","LF,CF,RF","226","247","260","300","396","193","245.2"
"245","Yusei Kikuchi","LAA","SP","230","249","244","227","371","280","246.0"
"246","Mason Miller","SD","RP","228","241","258","277","231","998","247.0"
"247","Andrew Vaughn","MIL","1B","225","246","275","275","431","215","247.2"
"248","Kyle Finnegan","DET","RP","255","245","251","232","253","324","247.2"
"249","Jarred Kelenic","CWS","CF,RF","221","232","247","332","359","211","248.6"
"250","Ryan Mountcastle","BAL","1B,DH","234","252","277","311","246","241","250.0"
"251","Shane Baz","BAL","SP","261","305","230","356","225","230","250.2"
"252","Kris Bryant","COL","DH","250","240","274","240","417","253","251.4"
"253","Jonathan India","KC","2B,3B,LF,DH","238","243","265","269","200","247","252.4"
"254","Matt Chapman","SF","3B","263","258","329","215","326","224","257.2"
"255","Eugenio Suarez","CIN","3B,DH","265","286","283","261","408","196","258.2"
"256","Ryan Pressly","","RP","277","276","205","243","230","269","259.0"
"257","Max Scherzer","TOR","SP","310","265","289","237","293","245","265.8"
"258","Luis Campusano","SD","C,DH","189","263","232","315","439","336","267.0"
"259","Henry Davis","PIT","C","249","248","231","327","385","281","267.2"
"260","Seth Lugo","KC","SP","260","352","319","317","220","227","268.6"
"261","Brandon Lowe","PIT","2B","256","234","314","323","444","225","270.4"
"262","Paul Skenes","PIT","SP","300","257","221","257","244","295","270.6"
"263","Brent Rooker","ATH","LF,RF,DH","280","274","273","271","422","257","271.0"
"264","Luis Severino","ATH","SP","284","226","264","303","380","279","271.2"
"265","Jackson Merrill","SD","CF","380","222","242","225","292","489","272.2"
"266","Max Kepler","","LF,RF","268","267","301","254","450","274","272.8"
"267","Whit Merrifield","","2B,3B,LF","258","260","267","287","296","310","273.6"
"268","Alex Verdugo","","LF,RF","293","309","310","242","415","238","278.4"
"269","Will Smith","","RP","315","256","284","281","258","394","278.8"
"270","MJ Melendez","NYM","LF,DH","274","296","191","289","307","234","280.0"
"271","Tyler Stephenson","CIN","C","217","283","285","335","386","287","281.4"
"272","Yuki Matsui","SD","RP","318","270","308","235","283","361","282.8"
"273","Michael Wacha","KC","SP","275","297","276","353","323","243","282.8"
"274","Taj Bradley","MIN","SP","291","330","303","","276","219","283.8"
"275","Sal Frelick","MIL","LF,CF,RF","269","281","353","295","440","258","291.2"
"276","Robert Stephenson","LAA","RP","319","","254","296","232","358","291.8"
"277","Colt Keith","DET","1B,2B,3B,DH","301","264","324","285","357","285","291.8"
"278","Josh Bell","MIN","1B,DH","288","293","380","196","449","305","292.4"
"279","Griffin Canning","SD","SP","272","275","394","283","443","239","292.6"
"280","Alejandro Kirk","TOR","C","252","300","366","291","321","313","295.4"
"281","Andrew Abbott","CIN","SP","267","291","307","298","314","261","295.4"
"282","A.J. Puk","ARI","RP","328","239","204","174","340","367","295.6"
"283","Vaughn Grissom","LAA","1B,2B,3B","296","326","295","248","294","267","295.6"
"284","Jon Gray","","RP","297","313","453","222","418","236","297.2"
"285","MacKenzie Gore","TEX","SP","276","282","339","290","411","303","298.0"
"286","Parker Meadows","DET","CF","266","269","320","348","432","294","299.4"
"287","Gavin Lux","TB","2B,3B,LF,DH","262","323","360","246","435","307","299.6"
"288","Jack Flaherty","DET","SP","331","277","292","333","269","352","300.4"
"289","Joel Payamps","ATL","RP","418","254","300","253","278","518","300.6"
"290","Bryan De La Cruz","PHI","LF","271","327","294","294","367","322","301.6"
"291","Ranger Suarez","BOS","SP","325","312","321","292","214","260","302.0"
"292","Jose Abreu","","1B","286","237","318","282","319","309","302.8"
"293","Luis Rengifo","MIL","2B,3B,OF","235","295","333","192","363","290","303.2"
"294","Dean Kremer","BAL","SP","307","353","409","249","370","240","303.8"
"295","Ryan Jeffers","MIN","C,DH","243","308","363","424","273","335","304.4"
"296","Ty France","SD","1B","321","346","348","252","404","271","307.6"
"297","Will Benson","CIN","LF,CF,RF","279","268","253","392","438","355","309.4"
"298","Brendan Donovan","SEA","2B,3B,SS,LF","273","278","355","366","405","277","309.8"
"299","Jeff McNeil","ATH","2B,LF,CF,RF","294","253","376","137","362","272","311.4"
"300","John Means","KC","SP","317","370","306","","346","221","312.0"
"301","Jake Cronenworth","SD","1B,2B,SS","340","285","288","165","284","366","312.6"
"302","Willi Castro","COL","2B,3B,SS,LF,RF","289","302","312","410","320","341","312.8"
"303","Jordan Hicks","CWS","SP,RP","306","350","291","305","312","364","312.8"
"304","Jacob deGrom","TEX","SP","428","335","293","307","248","392","315.0"
"305","Austin Wells","NYY","C","302","307","372","318","302","346","315.0"
"306","Lance Lynn","","SP","290","280","330","197","377","299","315.2"
"307","Yennier Cano","BAL","RP","329","287","345","180","335","282","315.6"
"308","Louis Varland","TOR","RP","295","357","313","251","309","304","315.6"
"309","Gavin Stone","LAD","SP","385","271","245","299","384","475","316.8"
"310","DJ LeMahieu","","1B,2B,3B","348","332","431","293","313","302","317.6"
"311","Sean Manaea","NYM","SP,RP","326","288","428","270","383","327","318.8"
"312","Garrett Crochet","BOS","SP","458","303","278","329","229","507","319.4"
"313","Jose Siri","LAA","CF","282","314","311","436","420","276","320.6"
"314","Victor Scott","STL","CF","426","289","236","355","308","522","322.8"
"315","Aroldis Chapman","BOS","RP","355","321","375","268","295","416","322.8"
"316","Hunter Harvey","CHC","RP","292","317","327","314","228","375","325.0"
"317","Miles Mikolas","WSH","SP","391","347","290","302","375","312","325.2"
"318","Taijuan Walker","","SP,RP","417","319","332","350","304","325","326.0"
"319","Kyle Gibson","","SP","407","","362","279","300","284","326.4"
"320","Austin Hays","CWS","LF,DH","309","377","407","272","437","268","326.6"
"321","Zach Neto","LAA","SS","287","340","435","321","442","254","327.4"
"322","Clarke Schmidt","NYY","SP","338","334","426","301","399","265","327.4"
"323","Reese Olson","DET","SP","270","311","386","","425","251","328.6"
"324","Frankie Montas","","SP","314","298","338","316","349","338","331.0"
"325","Andrew Benintendi","CWS","LF,DH","373","","404","219","379","286","332.2"
"326","Orlando Arcia","MIN","1B,2B,3B,SS","343","361","423","325","287","345","332.2"
"327","Nelson Velazquez","STL","LF,RF,DH","285","","316","365","446","255","333.4"
"328","Jordan Westburg","BAL","2B,3B","298","318","382","349","257","323","334.0"
"329","Joey Meneses","ATH","1B","371","378","328","284","436","316","335.4"
"330","Abner Uribe","MIL","RP","429","273","299","379","306","524","337.2"
"331","Jake Fraley","TB","LF,RF","304","292","315","","448","329","337.6"
"332","Reynaldo Lopez","ATL","SP,RP","381","339","361","322","286","485","337.8"
"333","Travis d'Arnaud","LAA","C","377","","298","326","280","415","339.2"
"334","Danny Jansen","TEX","C","299","358","415","","277","348","339.4"
"335","Bryan Abreu","HOU","RP","369","301","317","256","334","380","340.2"
"336","DL Hall","MIL","SP,RP","330","261","325","357","311","384","341.4"
"337","A.J. Minter","NYM","RP","463","290","417","264","328","411","342.0"
"338","Andrew Heaney","","SP","362","","390","286","356","318","342.4"
"339","Elias Diaz","KC","C","244","338","281","398","409","292","343.6"
"340","Tim Anderson","","2B,SS","316","351","336","390","441","326","343.8"
"341","Noelvi Marte","CIN","3B,RF","264","","193","","191","256","226.0"
"342","Jared Jones","PIT","SP","443","343","235","","187","516","344.8"
"343","Brady Singer","CIN","SP","411","","401","308","255","354","345.8"
"344","Brandon Marsh","PHI","LF,CF,RF","365","366","341","330","241","330","346.4"
"345","Michael Conforto","CHC","LF,RF,DH","412","359","342","","262","357","346.4"
"346","Ceddanne Rafaela","BOS","2B,CF","337","304","344","340","351","381","350.6"
"347","Hector Neris","","RP","432","342","388","262","331","499","351.0"
"348","Emmet Sheehan","LAD","SP","308","355","347","","430","320","352.0"
"349","Alex Kirilloff","","1B,LF,RF","346","367","309","","382","360","352.8"
"350","David Robertson","","RP","354","363","370","320","358","452","353.0"
"351","Chris Paddack","CIN","SP,RP","305","331","436","","407","297","355.2"
"352","Tanner Houck","BOS","SP","378","","449","367","197","391","356.4"
"353","Jason Adam","SD","RP","327","341","371","259","361","386","357.2"
"354","Dane Dunning","SEA","SP,RP","368","333","373","258","372","344","358.0"
"355","James Paxton","","SP","311","216","352","388","412","333","359.2"
"356","Mitch Haniger","","RF","382","356","337","331","392","412","359.6"
"357","Clayton Kershaw","","SP","453","","280","312","341","413","359.8"
"358","Chris Taylor","LAA","2B,LF,CF,RF","370","369","459","313","337","410","359.8"
"359","Erick Fedde","CWS","SP,RP","350","344","351","","416","340","360.2"
"360","Wilmer Flores","","1B,DH","347","368","429","372","348","374","361.8"
"361","Griffin Jax","TB","SP,RP","460","310","326","429","285","567","362.0"
"362","Matt Wallner","MIN","LF,RF","313","360","418","","414","306","362.2"
"363","Ezequiel Duran","TEX","1B,2B,3B,SS,LF,RF","320","","396","351","365","379","362.2"
"364","Charlie Blackmon","","RF,DH","437","","322","334","338","406","367.4"
"365","Logan Allen","CLE","SP","336","","395","391","426","296","368.8"
"366","Kevin Ginkel","ARI","RP","477","294","279","","301","498","369.8"
"367","Michael Kopech","","RP","413","299","357","","345","435","369.8"
"368","Tyler Wells","BAL","SP,RP","312","349","305","411","410","371","370.6"
"369","Patrick Bailey","CLE","C","361","","456","346","275","417","371.0"
"370","Mark Canha","","LF,RF","435","","468","267","333","356","371.8"
"371","Brett Baty","NYM","1B,2B,3B,RF","359","","462","404","316","321","372.4"
"372","Jason Foley","SF","RP","520","","255","324","201","565","373.0"
"373","Jose Quintana","COL","SP","383","316","402","358","391","332","373.2"
"374","Javier Baez","DET","2B,3B,SS,CF","400","375","416","337","289","339","373.4"
"375","Zack Littell","WSH","SP","349","336","410","","374","398","373.4"
"376","Garrett Whitlock","BOS","RP","357","354","381","276","389","388","373.8"
"377","Colton Cowser","BAL","LF,CF,RF","456","","356","376","213","473","374.8"
